t,degree,alpha,personi
1.2837418241329317,1,9.200000000000001,92
1.2837418241329317,2,9.3,93
1.2837418241329317,3,9.4,94
1.2837418241329317,1,9.5,95
1.2837418241329317,0,9.600000000000001,96
1.2837418241329317,1,9.700000000000001,97
1.2837418241329317,0,9.8,98
1.2837418241329317,1,9.9,99
1.370663811670474,0,0.0,0
1.370663811670474,0,0.1,1
1.370663811670474,1,0.2,2
1.370663811670474,1,0.30000000000000004,3
1.370663811670474,1,0.4,4
1.370663811670474,0,0.5,5
1.370663811670474,1,0.6000000000000001,6
1.370663811670474,0,0.7000000000000001,7
1.370663811670474,1,0.8,8
1.370663811670474,0,0.9,9
1.370663811670474,0,1.0,10
1.370663811670474,2,1.1,11
1.370663811670474,0,1.2000000000000002,12
1.370663811670474,0,1.3,13
1.370663811670474,1,1.4000000000000001,14
1.370663811670474,1,1.5,15
1.370663811670474,1,1.6,16
1.370663811670474,1,1.7000000000000002,17
1.370663811670474,1,1.8,18
1.370663811670474,1,1.9000000000000001,19
1.370663811670474,1,2.0,20
1.370663811670474,0,2.1,21
1.370663811670474,1,2.2,22
1.370663811670474,1,2.3000000000000003,23
1.370663811670474,2,2.4000000000000004,24
1.370663811670474,1,2.5,25
1.370663811670474,1,2.6,26
1.370663811670474,1,2.7,27
1.370663811670474,1,2.8000000000000003,28
1.370663811670474,2,2.9000000000000004,29
1.370663811670474,1,3.0,30
1.370663811670474,0,3.1,31
1.370663811670474,1,3.2,32
1.370663811670474,1,3.3000000000000003,33
1.370663811670474,1,3.4000000000000004,34
1.370663811670474,0,3.5,35
1.370663811670474,1,3.6,36
1.370663811670474,1,3.7,37
1.370663811670474,2,3.8000000000000003,38
1.370663811670474,1,3.9000000000000004,39
1.370663811670474,1,4.0,40
1.370663811670474,1,4.1000000000000005,41
1.370663811670474,1,4.2,42
1.370663811670474,2,4.3,43
1.370663811670474,2,4.4,44
1.370663811670474,2,4.5,45
1.370663811670474,2,4.6000000000000005,46
1.370663811670474,4,4.7,47
1.370663811670474,1,4.800000000000001,48
1.370663811670474,3,4.9,49
1.370663811670474,1,5.0,50
1.370663811670474,0,5.1000000000000005,51
1.370663811670474,0,5.2,52
1.370663811670474,2,5.300000000000001,53
1.370663811670474,0,5.4,54
1.370663811670474,2,5.5,55
1.370663811670474,1,5.6000000000000005,56
1.370663811670474,0,5.7,57
1.370663811670474,0,5.800000000000001,58
1.370663811670474,0,5.9,59
1.370663811670474,1,6.0,60
1.370663811670474,1,6.1000000000000005,61
1.370663811670474,1,6.2,62
1.370663811670474,1,6.300000000000001,63
1.370663811670474,1,6.4,64
1.370663811670474,3,6.5,65
1.370663811670474,2,6.6000000000000005,66
1.370663811670474,1,6.7,67
1.370663811670474,0,6.800000000000001,68
1.370663811670474,1,6.9,69
1.370663811670474,1,7.0,70
1.370663811670474,2,7.1000000000000005,71
1.370663811670474,0,7.2,72
1.370663811670474,0,7.300000000000001,73
1.370663811670474,2,7.4,74
1.370663811670474,1,7.5,75
1.370663811670474,2,7.6000000000000005,76
1.370663811670474,2,7.7,77
1.370663811670474,0,7.800000000000001,78
1.370663811670474,0,7.9,79
1.370663811670474,2,8.0,80
1.370663811670474,2,8.1,81
1.370663811670474,0,8.200000000000001,82
1.370663811670474,1,8.3,83
1.370663811670474,0,8.4,84
1.370663811670474,1,8.5,85
1.370663811670474,1,8.6,86
1.370663811670474,3,8.700000000000001,87
1.370663811670474,1,8.8,88
1.370663811670474,0,8.9,89
1.370663811670474,1,9.0,90
1.370663811670474,1,9.1,91
1.370663811670474,1,9.200000000000001,92
1.370663811670474,2,9.3,93
1.370663811670474,3,9.4,94
1.370663811670474,1,9.5,95
1.370663811670474,0,9.600000000000001,96
1.370663811670474,1,9.700000000000001,97
1.370663811670474,0,9.8,98
1.370663811670474,1,9.9,99
1.422615929151313,0,0.0,0
1.422615929151313,0,0.1,1
1.422615929151313,1,0.2,2
1.422615929151313,1,0.30000000000000004,3
1.422615929151313,1,0.4,4
1.422615929151313,0,0.5,5
1.422615929151313,1,0.6000000000000001,6
1.422615929151313,1,0.7000000000000001,7
1.422615929151313,1,0.8,8
1.422615929151313,0,0.9,9
1.422615929151313,0,1.0,10
1.422615929151313,2,1.1,11
1.422615929151313,0,1.2000000000000002,12
1.422615929151313,0,1.3,13
1.422615929151313,1,1.4000000000000001,14
1.422615929151313,1,1.5,15
1.422615929151313,1,1.6,16
1.422615929151313,1,1.7000000000000002,17
1.422615929151313,1,1.8,18
1.422615929151313,1,1.9000000000000001,19
1.422615929151313,1,2.0,20
1.422615929151313,0,2.1,21
1.422615929151313,1,2.2,22
1.422615929151313,1,2.3000000000000003,23
1.422615929151313,2,2.4000000000000004,24
1.422615929151313,1,2.5,25
1.422615929151313,1,2.6,26
1.422615929151313,1,2.7,27
1.422615929151313,1,2.8000000000000003,28
1.422615929151313,2,2.9000000000000004,29
1.422615929151313,1,3.0,30
1.422615929151313,0,3.1,31
1.422615929151313,1,3.2,32
1.422615929151313,2,3.3000000000000003,33
1.422615929151313,1,3.4000000000000004,34
1.422615929151313,0,3.5,35
1.422615929151313,1,3.6,36
1.422615929151313,1,3.7,37
1.422615929151313,2,3.8000000000000003,38
1.422615929151313,1,3.9000000000000004,39
1.422615929151313,1,4.0,40
1.422615929151313,1,4.1000000000000005,41
1.422615929151313,1,4.2,42
1.422615929151313,2,4.3,43
1.422615929151313,2,4.4,44
1.422615929151313,2,4.5,45
1.422615929151313,2,4.6000000000000005,46
1.422615929151313,4,4.7,47
1.422615929151313,1,4.800000000000001,48
1.422615929151313,3,4.9,49
1.422615929151313,1,5.0,50
1.422615929151313,0,5.1000000000000005,51
1.422615929151313,0,5.2,52
1.422615929151313,2,5.300000000000001,53
1.422615929151313,0,5.4,54
1.422615929151313,2,5.5,55
1.422615929151313,1,5.6000000000000005,56
1.422615929151313,0,5.7,57
1.422615929151313,0,5.800000000000001,58
1.422615929151313,0,5.9,59
1.422615929151313,1,6.0,60
1.422615929151313,1,6.1000000000000005,61
1.422615929151313,1,6.2,62
1.422615929151313,1,6.300000000000001,63
1.422615929151313,1,6.4,64
1.422615929151313,3,6.5,65
1.422615929151313,2,6.6000000000000005,66
1.422615929151313,1,6.7,67
1.422615929151313,0,6.800000000000001,68
1.422615929151313,1,6.9,69
1.422615929151313,1,7.0,70
1.422615929151313,2,7.1000000000000005,71
1.422615929151313,0,7.2,72
1.422615929151313,0,7.300000000000001,73
1.422615929151313,2,7.4,74
1.422615929151313,1,7.5,75
1.422615929151313,2,7.6000000000000005,76
1.422615929151313,2,7.7,77
1.422615929151313,0,7.800000000000001,78
1.422615929151313,0,7.9,79
1.422615929151313,2,8.0,80
1.422615929151313,2,8.1,81
1.422615929151313,0,8.200000000000001,82
1.422615929151313,1,8.3,83
1.422615929151313,0,8.4,84
1.422615929151313,1,8.5,85
1.422615929151313,1,8.6,86
1.422615929151313,3,8.700000000000001,87
1.422615929151313,1,8.8,88
1.422615929151313,0,8.9,89
1.422615929151313,1,9.0,90
1.422615929151313,1,9.1,91
1.422615929151313,1,9.200000000000001,92
1.422615929151313,2,9.3,93
1.422615929151313,3,9.4,94
1.422615929151313,1,9.5,95
1.422615929151313,0,9.600000000000001,96
1.422615929151313,1,9.700000000000001,97
1.422615929151313,0,9.8,98
1.422615929151313,1,9.9,99
1.4970710640401008,0,0.0,0
1.4970710640401008,0,0.1,1
1.4970710640401008,1,0.2,2
1.4970710640401008,1,0.30000000000000004,3
1.4970710640401008,1,0.4,4
1.4970710640401008,0,0.5,5
1.4970710640401008,1,0.6000000000000001,6
1.4970710640401008,1,0.7000000000000001,7
1.4970710640401008,1,0.8,8
1.4970710640401008,0,0.9,9
1.4970710640401008,0,1.0,10
1.4970710640401008,2,1.1,11
1.4970710640401008,0,1.2000000000000002,12
1.4970710640401008,0,1.3,13
1.4970710640401008,1,1.4000000000000001,14
1.4970710640401008,1,1.5,15
1.4970710640401008,1,1.6,16
1.4970710640401008,1,1.7000000000000002,17
1.4970710640401008,1,1.8,18
1.4970710640401008,1,1.9000000000000001,19
1.4970710640401008,1,2.0,20
1.4970710640401008,0,2.1,21
1.4970710640401008,1,2.2,22
1.4970710640401008,1,2.3000000000000003,23
1.4970710640401008,2,2.4000000000000004,24
1.4970710640401008,1,2.5,25
1.4970710640401008,1,2.6,26
1.4970710640401008,1,2.7,27
1.4970710640401008,1,2.8000000000000003,28
